X,Y,OBJECTID,FIRE_ID,ASMNT_TYPE,PRE_ID,POST_ID,NODATA_THRESHOLD,LOW_THRESHOLD,MODERATE_THRESHOLD,HIGH_THRESHOLD,LATITUDE,LONGITUDE,FIRE_TYPE,FIRE_NAME,GREENNESS_THRESHOLD,IG_DATE,ACRES
-153.725025689425,64.6290007544444,5544,AK6462915372519990714,Extended,70730151999183,70730152000200,-970,70,299,560,64.629,-153.725,Wildfire,GRAND CREEK,-150,1999/07/14 00:00:00+00,2654
-152.778025681036,64.5740009208236,5545,AK6457415277820000627,Extended,70720151999240,70720152001300,-970,165,382,650,64.574,-152.778,Wildfire,GRAND CREEK,-150,2000/06/27 00:00:00+00,98482
-153.420025628015,64.5470008129384,5546,AK6454715342020020718,Extended,70720152001149,70720152003100,-970,40,228,450,64.547,-153.42,Wildfire,GRAND CREEK,-150,2002/07/18 00:00:00+00,4357
-102.802008898966,31.3620052233527,5547,TX3136210280220080225,Initial,50300382006037,50300382008100,-970,50,178,350,31.362,-102.802,Wildfire,GRAND FALLS,-150,2008/02/25 00:00:00+00,5851
-93.4850065227323,29.9350052970179,5548,LA2992909347420110703,Initial (SS),NULL,50240392011200,-9999,9999,-9999,-9999,29.935,-93.485,Wildfire,GRAND FUE,-9999,2011/07/03 00:00:00+00,6005
-80.4550027564114,25.7500046747446,5549,FL2575408045320150419,Initial,80150422014114,80150422015100,-970,30,300,9999,25.75,-80.455,Wildfire,GRAND LAKE,-150,2015/04/19 00:00:00+00,1368
-117.473012067457,34.1860049146817,5550,CA3418611747320031021,Extended,50400362003195,50400362004200,-970,100,315,570,34.186,-117.473,Wildfire,GRAND PRIX,-150,2003/10/21 00:00:00+00,50799
-102.396010339288,45.7640073974657,5551,SD4576410239620090927,Initial,50330282008288,50330282009300,-970,100,300,9999,45.764,-102.396,Wildfire,GRAND RIVER,-150,2009/09/27 00:00:00+00,1175
-106.71500989672,33.2470053597213,5552,NM3324710671520000604,Initial,70330371999271,50330372000200,-970,95,249,450,33.247,-106.715,Wildfire,GRANDADDY,-150,2000/06/04 00:00:00+00,3360
-118.759013338198,42.8340056574057,5553,OR4283411875920060821,Initial,50430302005237,50430302006300,-970,100,153,270,42.834,-118.759,Wildfire,GRANDDAD,-150,2006/08/21 00:00:00+00,29337
